,ppm,hm,sensor,strain,max
213,0.6,Hg,merR,ALE1,1.4686344651172085
214,0.6,Hg,merR,ALE1,1.088817207735177
215,0.6,Hg,merR,ALE1,1.356929082628497
216,0.001,Hg,merR,ALE2,1.839602113770594
217,0.001,Hg,merR,ALE2,1.8829931972789113
218,0.001,Hg,merR,ALE2,1.5887755102040817
219,0.002,Hg,merR,ALE2,1.3713473427295526
220,0.002,Hg,merR,ALE2,1.647457627118644
221,0.002,Hg,merR,ALE2,1.8620329785013563
222,0.004,Hg,merR,ALE2,1.5297519403439357
223,0.004,Hg,merR,ALE2,1.4106999195494774
224,0.004,Hg,merR,ALE2,1.7228128095080883
225,0.006,Hg,merR,ALE2,1.3092128782621495
226,0.006,Hg,merR,ALE2,1.4591685912240184
227,0.006,Hg,merR,ALE2,1.597599882921118
228,0.01,Hg,merR,ALE2,2.035180722891566
229,0.01,Hg,merR,ALE2,1.8533526494443093
230,0.01,Hg,merR,ALE2,1.5533684090129247
231,0.02,Hg,merR,ALE2,5.134396355353076
232,0.02,Hg,merR,ALE2,5.724225212364202
233,0.02,Hg,merR,ALE2,4.542194138795075
234,0.04,Hg,merR,ALE2,9.734080051711425
235,0.04,Hg,merR,ALE2,10.993555934681941
236,0.04,Hg,merR,ALE2,12.492030477759474
237,0.06,Hg,merR,ALE2,11.234534755795996
238,0.06,Hg,merR,ALE2,13.06821440764766
239,0.06,Hg,merR,ALE2,9.121282411
240,0.1,Hg,merR,ALE2,16.843528695484988
241,0.1,Hg,merR,ALE2,15.921876860783616
242,0.1,Hg,merR,ALE2,15.95738143
243,0.2,Hg,merR,ALE2,10.401072510582596
244,0.2,Hg,merR,ALE2,14.517183496775337
245,0.2,Hg,merR,ALE2,10.611439842209073
246,0.4,Hg,merR,ALE2,0.7898352813448913
247,0.4,Hg,merR,ALE2,0.9429794171591602
248,0.4,Hg,merR,ALE2,0.8263806970509383
249,0.6,Hg,merR,ALE2,0.6908045977011494
250,0.6,Hg,merR,ALE2,0.8520845231296402
251,0.6,Hg,merR,ALE2,0.9381553462899888
252,0.01,Pb,zraP,ALE1,2.028391264226392
253,0.01,Pb,zraP,ALE1,1.785012359076385
254,0.01,Pb,zraP,ALE1,2.0274752651434267
255,0.02,Pb,zraP,ALE1,1.9831112283942471
256,0.02,Pb,zraP,ALE1,1.812263665789394
257,0.02,Pb,zraP,ALE1,1.6720709035884136
258,0.03,Pb,zraP,ALE1,2.2350434476497507
259,0.03,Pb,zraP,ALE1,1.716385542168675
260,0.03,Pb,zraP,ALE1,1.8649789029535866
261,0.04,Pb,zraP,ALE1,1.9065071289491864
262,0.04,Pb,zraP,ALE1,1.9541194572667508
263,0.04,Pb,zraP,ALE1,1.8278749813070139
264,0.06,Pb,zraP,ALE1,1.8575557650015706
265,0.06,Pb,zraP,ALE1,2.0085184058411927
266,0.06,Pb,zraP,ALE1,1.7554919774465023
267,0.1,Pb,zraP,ALE1,2.193342453260374
268,0.1,Pb,zraP,ALE1,2.198692810457516
269,0.1,Pb,zraP,ALE1,2.249017506252233
270,0.2,Pb,zraP,ALE1,2.2026940150007657
271,0.2,Pb,zraP,ALE1,1.9679568953941187
272,0.2,Pb,zraP,ALE1,2.269784623090408
273,0.3,Pb,zraP,ALE1,2.973640538767319
274,0.3,Pb,zraP,ALE1,2.7905863929006434
275,0.3,Pb,zraP,ALE1,2.8075937982677384
276,0.4,Pb,zraP,ALE1,3.032404458598726
277,0.4,Pb,zraP,ALE1,3.403851799659445
278,0.4,Pb,zraP,ALE1,3.2814183501683503
279,0.6,Pb,zraP,ALE1,4.037678718241794
280,0.6,Pb,zraP,ALE1,3.6711192066383327
281,0.6,Pb,zraP,ALE1,4.223136380880121
282,1,Pb,zraP,ALE1,4.1207262268560125
283,1,Pb,zraP,ALE1,4.174320137693632
284,1,Pb,zraP,ALE1,4.550484094052559
285,2,Pb,zraP,ALE1,5.7981986179051175
286,2,Pb,zraP,ALE1,1.4575636698373735
287,2,Pb,zraP,ALE1,6.023329233292332
288,0.01,Pb,zraP,ALE2,1.6854670750382847
289,0.01,Pb,zraP,ALE2,1.3159716674655164
290,0.01,Pb,zraP,ALE2,1.4267734044918834
291,0.02,Pb,zraP,ALE2,1.365263614666956
292,0.02,Pb,zraP,ALE2,1.399536536381894
293,0.02,Pb,zraP,ALE2,1.1515317969588774
294,0.03,Pb,zraP,ALE2,1.252220638227876
295,0.03,Pb,zraP,ALE2,1.2002583979328165
296,0.03,Pb,zraP,ALE2,1.298508130687752
297,0.04,Pb,zraP,ALE2,1.197668531668246
298,0.04,Pb,zraP,ALE2,1.35501785
299,0.04,Pb,zraP,ALE2,1.1721105527638194
300,0.06,Pb,zraP,ALE2,1.1286379062114356
301,0.06,Pb,zraP,ALE2,0.9161583542638441
302,0.06,Pb,zraP,ALE2,1.1287203166226913
303,0.1,Pb,zraP,ALE2,1.0754118684881866
304,0.1,Pb,zraP,ALE2,1.0609015557821018
305,0.1,Pb,zraP,ALE2,1.2292123658272645
306,0.2,Pb,zraP,ALE2,1.1387573577501635
307,0.2,Pb,zraP,ALE2,1.0657692807907402
308,0.2,Pb,zraP,ALE2,1.0874355925485533
309,0.3,Pb,zraP,ALE2,1.0534427542033629
310,0.3,Pb,zraP,ALE2,1.0846608499859274
311,0.3,Pb,zraP,ALE2,1.2024884351571223
312,0.4,Pb,zraP,ALE2,0.9989419322332788
313,0.4,Pb,zraP,ALE2,0.9125615763546797
314,0.4,Pb,zraP,ALE2,1.0205518018018016
315,0.6,Pb,zraP,ALE2,1.0156309569195576
316,0.6,Pb,zraP,ALE2,0.94191778
