Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
64,2563.435,2559.524,2649.137,2567.447,2364.678,2803.56,2722.678,2741.792,2596.512,2349.553,2372.625,2371.845,2372.22,2348.827,2337.572,2429.8,2436.9,2419.15,2446.417,2307.9,2332.636,2333.248,2329.802,2332.686,2293.289,2314.273,2301.438,2302.306,2295.521,2257.628
65,2568.667,2563.792,2649.833,2570.905,2361.447,2829.637,2696.625,2746.018,2594.375,2351.381,2380.036,2375.958,2373.75,2356.012,2332.202,2419.183,2448.067,2429.017,2454.65,2301.35,2328.339,2334.95,2324.62,2330.917,2296.851,2311.017,2303.967,2295.008,2300.083,2260.455
66,2572.964,2581.464,2664.673,2582.697,2364.351,2842.708,2715.482,2752.845,2610.613,2350.435,2371.964,2374.774,2376.899,2353.053,2330.178,2435.617,2454.183,2438.433,2464.417,2305.2,2335.281,2337.967,2328.331,2333.339,2297.207,2317.372,2305.413,2297.264,2297.636,2260.835
67,2589.458,2596.435,2679.988,2597.435,2361.149,2835.048,2739.351,2760.161,2616.935,2352.78,2373.839,2372.655,2376.5,2355.982,2337.435,2438.25,2461.1,2433.167,2467.467,2303.567,2335.099,2338.744,2328.95,2329.86,2294.157,2319.992,2305.116,2305.273,2297.314,2258.182
68,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
69,2631.768,2698.476,2750.839,2691.899,2366.619,2847.256,2741.06,2782.006,2652.988,2348.256,2372.958,2378.952,2369.47,2359.131,2334.667,2453.217,2504.433,2444.317,2479.5,2307.017,2330.612,2338.099,2327.107,2332.165,2295.694,2316.62,2311.769,2296.653,2300.694,2258.744
70,2665.548,2747.637,2788.893,2728.572,2364.226,2878.512,2754.369,2797.06,2663.637,2349.863,2374.333,2372.863,2379.685,2355.167,2340.607,2461.25,2522,2443.55,2473.533,2308.383,2336.603,2337.331,2329.653,2340.198,2303.868,2317.579,2310.694,2301.595,2296.091,2263.025
71,2688.113,2807.893,2829.303,2768.667,2372.512,2902.655,2788.167,2813.357,2677.928,2350.024,2373.708,2373.119,2377.839,2361.649,2336.738,2487.233,2533.283,2454.283,2484.15,2303.25,2334.058,2340.711,2330.058,2331.686,2296.529,2323.264,2309.661,2301.893,2298.769,2259.868
72,2723.762,2861.339,2864.19,2808.428,2365.655,2940.851,2820.286,2832.822,2693.47,2355.327,2374.822,2366.101,2376.553,2355.19,2337.435,2458.183,2558.3,2462.883,2489.483,2300.067,2338.727,2339.942,2332.612,2335.653,2304.826,2310.223,2304.488,2299.769,2298.504,2256.157
73,2738.792,2842.685,2888.411,2840.833,2366.345,2966.458,2845.803,2832.899,2707.077,2352.244,2377.214,2376.077,2371.875,2358.643,2336.232,2463.783,2571.95,2440.717,2486.617,2306.583,2333.868,2339.868,2331.231,2335.777,2296.843,2318.24,2310.446,2304.43,2303.074,2261.116
74,2760.202,2884.577,2910.298,2871.815,2360.393,2998.81,2850.357,2841.75,2709.256,2354.065,2378.917,2375.857,2377.857,2366.881,2338.44,2451.983,2600.017,2458.3,2493.133,2304.7,2329.264,2336.934,2327.785,2338.405,2297.132,2318.05,2309.777,2299.149,2299.653,2262.835
75,2778.899,2928.625,2932.137,2893.667,2367.827,3030.744,2871.262,2839.726,2722.798,2351.322,2381.899,2377.81,2374.006,2358.893,2337.857,2462.367,2526.383,2464.7,2497.567,2309.467,2330.19,2338.686,2325.496,2330.397,2296.38,2323.901,2312.793,2304.223,2297.041,2262.983
76,2790.119,2973.643,2946.72,2931.595,2369.053,2930.845,2889.881,2846.56,2732.548,2355.161,2374.167,2373.857,2377.298,2355.792,2335.411,2460.15,2533.267,2480.967,2493.667,2303.417,2328.504,2338.661,2332.273,2333.438,2298.066,2321.256,2308.917,2298.636,2300.24,2258.868
77,2815.327,2976.417,2969.095,2951.411,2366.31,2951.923,2909.322,2859.113,2736.375,2353.768,2376.25,2374.447,2375.351,2357.893,2339.798,2478,2528.583,2473.467,2498.533,2308.633,2329.983,2334.669,2331.025,2339.95,2298.347,2319.116,2310.025,2305.405,2296.091,2257.488
78,2827.476,3014.333,2988.214,2973.357,2368.833,2928.774,2931.322,2861.702,2742.869,2358.792,2383.322,2376.589,2379.393,2360.31,2338.042,2503.65,2532.583,2481.733,2512.35,2308.05,2336.603,2345.901,2331.455,2343.388,2303.76,2319.603,2313.471,2305.24,2296.207,2260.942
79,2830.476,3063.464,2999.494,2985.869,2367.47,2943.905,2925.119,2869.286,2743.315,2353.06,2380.75,2374.53,2380.208,2363.25,2336.881,2496.7,2540.6,2502.433,2501.967,2303.133,2333.785,2349.38,2334.446,2339.479,2304.157,2321.066,2318.983,2305.074,2302.678,2258.818
80,2850.345,3060.315,3015.643,3012.125,2366.756,2952.72,2944.875,2870.065,2742.601,2356.399,2379.905,2382.149,2379.899,2357.083,2334.28,2501.1,2524.167,2476.383,2502.383,2303.417,2332.157,2343.686,2331.678,2339.066,2300.322,2316.678,2318.091,2304.438,2302.132,2264.405
81,2852.268,3107.107,3041.928,3031.119,2368.381,2972.185,2907.958,2869.149,2743.845,2352.458,2385.351,2380.155,2380.452,2356.363,2339.732,2498.35,2534.833,2495.8,2511.65,2309.65,2337.678,2343.479,2335.909,2341.975,2301.496,2322.174,2317.174,2302.521,2301.38,2264.554
82,2872.202,3149.47,3054.072,3052.506,2366.268,2941.863,2876.048,2872.381,2745.351,2356.958,2383.697,2374.036,2381.22,2355.845,2340.155,2501.567,2535.733,2496.6,2516.633,2311.867,2334.388,2345.579,2330.694,2338.107,2301.636,2322.455,2310.975,2302.455,2303.736,2260.231
83,2879.458,3151.375,3058.649,3071.393,2362.935,2971.619,2900.101,2877.875,2745.113,2355.655,2385.583,2377.488,2380.428,2358.928,2334.81,2501.517,2544.6,2490.733,2519.267,2303.8,2332.76,2343.686,2330.017,2342.24,2296.512,2322.025,2310.702,2301.554,2305.281,2261.785
84,2883.149,3190.565,3081.572,3103.083,2370.851,2990.976,2920.857,2876.268,2744.315,2354.19,2378.577,2381.756,2378.476,2359.149,2336.357,2503.8,2549.567,2509.2,2520.317,2310.5,2332.05,2345.017,2328.843,2343.661,2298.545,2325.736,2310.537,2306.248,2304.223,2262.983
85,2898.024,3212.786,3094.155,3110.798,2368.952,3011.083,2860.792,2883.78,2733.185,2353.167,2381.947,2378.928,2379.655,2354.369,2343.107,2506.233,2578.1,2489.467,2518.383,2303.45,2339.942,2346.157,2329.636,2339.413,2302.934,2318.777,2309.198,2305.512,2299.785,2265.909
86,2906.274,3211.958,3096.756,3130.887,2364.899,2992.655,2872.803,2880.06,2743.232,2352.101,2381.81,2382.97,2380.678,2355.399,2337.065,2515.4,2549.917,2494.867,2518.65,2303.233,2337.785,2342.669,2333.992,2342.091,2301.595,2320.504,2306.504,2307.57,2303.099,2267.314
