Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
74,2875.232,2863.024,2899.077,2865.53,2368.197,2500.149,3077.244,3025.637,2860.899,2378.667,2413.887,2389.167,2381.887,2395.697,2370.173,2640.35,2641.933,2614.217,2590.933,2402.1,2380.182,2383.793,2382.488,2381.157,2340.884,2422.421,2423.496,2423.174,2380.744,2385.736
75,2936.006,2925.792,2958.256,2919.143,2369.458,2517.661,3127.405,3047.857,2882.363,2374.369,2408.655,2393.369,2382.315,2395.589,2375.024,2656.017,2660.017,2626.383,2593.85,2391.633,2391.298,2388.017,2378.058,2383.62,2343.636,2418.174,2422.942,2418.488,2381.43,2382.917
76,3005.756,2997.667,3039.435,2973.822,2369.083,2531.178,3171.685,3084.363,2906.31,2371.072,2416.298,2391.738,2391.577,2397.119,2372.44,2655.867,2661.2,2634.867,2605.083,2396.133,2390.397,2388.372,2382.364,2390.273,2334.628,2423.264,2425.132,2415.727,2383.736,2387.983
77,3071.208,3066.405,3085.625,3045.536,2366.202,2554.268,3225.399,3130.315,2933.185,2373.738,2418.905,2395.667,2389.303,2400.476,2374.577,2660.417,2658.217,2642.117,2602.717,2393.717,2390.157,2391.074,2382.777,2387.711,2335.595,2423.521,2431.207,2420.752,2385.579,2387.306
78,3135.315,3136.803,3165.928,3109.232,2369.988,2585.47,3273.655,3155.167,2960.22,2377.315,2425.256,2397.488,2388.869,2400.75,2379.018,2671.883,2666.75,2655.6,2613.217,2392,2395.554,2395.231,2386.612,2390.281,2347.479,2427.678,2427.595,2425.628,2383.545,2385.017
79,3195.565,3203.595,3227.19,3173.167,2372.673,2623.756,3329.19,3178.178,2987.393,2379.53,2422.589,2399.893,2395.256,2409.315,2377.06,2680.483,2673.6,2656.783,2628.35,2403.967,2399.562,2393.397,2385.975,2396.496,2344.868,2429.909,2437.917,2421.331,2378.975,2392.157
80,3265.72,3261,3299.345,3241.488,2371.905,2659.81,3387.072,3021.077,3014.524,2372.44,2429.006,2396.69,2394.56,2398.875,2378.78,2681.883,2692.167,2668.4,2631.2,2391.483,2398.488,2399.256,2387.727,2402.669,2347.843,2427.628,2445.959,2430.099,2383.843,2388.38
81,3337.726,3329.845,3377.869,3242.19,2373.798,2705.572,3462.161,3053.911,3051.167,2379.107,2432.369,2394.94,2390.482,2403.018,2377.661,2695.167,2698.183,2678.567,2635.483,2398.033,2396.57,2391.926,2393.074,2394.934,2347.702,2435.917,2438.215,2427.488,2383.05,2390.57
82,3423.28,3382.208,3458.887,3306.065,2373.053,2755.738,3523.351,3011.018,3107.542,2377.185,2439.435,2403.661,2390.655,2400.673,2375.53,2696.1,2693.383,2677.717,2652.367,2399.167,2395.074,2401.438,2395.074,2400.488,2347.339,2433.975,2444.099,2433.876,2384.554,2385.099
83,3483.643,3334.119,3498.536,3360.887,2369.958,2808.667,3597.768,3057.565,3163.238,2382.303,2441.869,2402.911,2393.226,2404.315,2374.5,2702.433,2707.767,2692.5,2664.9,2396.233,2400.364,2396.198,2396.926,2401.702,2343.231,2440.636,2444.496,2439.868,2385.587,2379.975
84,3559.655,3405.506,3577.25,3428.244,2375.583,2861.322,3697.44,3087.072,3222.815,2376.911,2446.018,2399.053,2393.565,2403.411,2377.869,2699.483,2704.833,2704.067,2657.083,2398.383,2401.273,2400.083,2396.322,2409.24,2345,2435.264,2449.802,2447.083,2385.421,2385.793
85,3623.887,3449.798,3659.077,3490.167,2373.958,2924.625,3795.107,3126.048,3300.167,2377.565,2441.345,2391.768,2391.155,2401.53,2379.827,2709.45,2721.133,2710.15,2673.583,2400.667,2403.033,2402,2403.207,2413.388,2344.562,2439.116,2454.479,2446.959,2381.248,2390.107
86,3695.315,3514.845,3732.393,3547.327,2370.649,2992.113,3911.06,3177.744,3368.357,2376.458,2445.548,2390.792,2395.661,2402.226,2378.822,2713.45,2740.017,2729.883,2666.633,2402.933,2466.132,2473.38,2399.562,2413.372,2341.174,2446.355,2453.777,2456.281,2390.471,2387.686
87,3760.625,3582.095,3824.649,3624.28,2370.47,3054.697,4050.649,3222.095,3452.178,2376.202,2448.065,2385.202,2397.22,2409.905,2378.042,2697.6,2738.8,2745.9,2685.233,2397.3,2403.264,2398.579,2402.579,2414.306,2344.901,2446.488,2452.149,2462.008,2385.529,2391.314
88,3819.298,3643.107,3899.994,3672.393,2370.173,3138.274,4168.381,3260.833,3542.863,2380.78,2453.006,2394.423,2404.768,2403.44,2378.494,2710.15,2713.917,2760.467,2691.15,2406.917,2400.331,2402.231,2406.364,2416.504,2345.983,2452.587,2465.504,2469.868,2387.264,2385.017
89,3044,3142.065,3106.435,3037.881,2371.589,3100.595,3210.702,3051.357,2860.756,2372.494,2407.238,2384.28,2378.744,2388.512,2378.226,2625.1,2629.033,2633.283,2596.817,2394.033,2377.769,2381.14,2375.355,2382.463,2344.107,2414.545,2412.785,2413.769,2388.752,2393.843
