Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
63,2667.768,2654.095,2645.268,2642.464,2512.839,2742.839,2712.048,2787.428,2907.113,2496.982,2499.899,2497.958,2493,2473,2472.542,2602.317,2605.75,2571.85,2602.167,2440.2,2502.661,2490.397,2501.826,2508.281,2483.645,2542.901,2529.802,2528.876,2534.496,2523.124
64,2665.637,2638.083,2645.25,2645.673,2513.542,2740.72,2702.03,2777.803,2900.911,2502.5,2500.125,2500.673,2490.94,2480.303,2474.81,2590.083,2603.8,2568.733,2605.35,2442.633,2498.653,2487.438,2498.752,2501.57,2484.488,2541.041,2529.413,2526.942,2533.843,2520.843
65,2669.178,2644.018,2644.345,2647.387,2514.143,2747.155,2712.363,2782.202,2905.649,2501.685,2502.595,2499.5,2489.928,2476.899,2474.655,2606.033,2611.717,2573.4,2613.4,2445.533,2497.653,2492.099,2497.355,2506.967,2487.785,2539.909,2536.983,2536.438,2535.868,2521.975
66,2672.226,2655.369,2650.048,2654.947,2516.75,2759.714,2721.089,2788.928,2918.685,2499.286,2501.339,2501.333,2491.387,2476.298,2475.048,2605.467,2617.55,2580.75,2633,2442.433,2497.628,2491.306,2499.876,2503.463,2484.322,2543.421,2529.917,2533.231,2530.215,2526.248
67,2681.494,2674.786,2659.863,2666.303,2513.625,2774.542,2723.256,2796.47,2925.577,2500.78,2504.03,2499.976,2492.161,2478.202,2474.393,2602.933,2618.967,2570.667,2628.3,2442.8,2499.14,2483.983,2501.438,2505.364,2489.091,2539.182,2532.562,2527.479,2530.967,2525.884
68,2707.803,2708.845,2686.357,2692.97,2512.935,2780.845,2735.553,2801.72,2946.042,2498.048,2503.726,2500.387,2489.262,2478.518,2474.5,2605.45,2610.967,2577.733,2628.483,2438.833,2497.273,2493.843,2495.983,2503.57,2485.826,2543.281,2531.868,2537.38,2529.835,2523.653
69,2733.869,2747.494,2715.435,2725.792,2512.815,2790.708,2757.089,2820.655,2951.667,2499.226,2505.19,2497.006,2497.452,2478.78,2474.53,2616.05,2627.65,2578.633,2650.783,2446.867,2499.413,2493.562,2492.446,2506.959,2489.298,2540.876,2533.223,2537.372,2531.446,2524.686
70,2764.768,2797.958,2748.351,2763.119,2516.22,2803.542,2764.75,2821.762,2969.982,2497.178,2502.869,2498.5,2494.595,2477.542,2470.363,2611.983,2621.933,2589,2649.717,2444.317,2499.248,2496.355,2499.777,2498.413,2489.041,2545.785,2530.587,2536.777,2526.314,2521.099
71,2795.494,2826.857,2771.268,2792.762,2516.506,2804.435,2768.988,2828.553,2981.863,2497.506,2506.476,2495.899,2491.065,2477.542,2481.958,2623.483,2619.667,2583.75,2646.933,2446.017,2499.579,2494.421,2501.132,2518.636,2485.893,2548.628,2532.653,2540.331,2531.207,2520.727
72,2816.53,2828.935,2795.589,2828.173,2520.542,2807.822,2774.899,2831.732,2990.964,2504.542,2504.262,2497.708,2493.024,2481.345,2479.357,2631.05,2628.267,2593.1,2663.517,2452.633,2497.818,2496.793,2498.174,2506.719,2485.025,2543.446,2535.132,2540.397,2531.504,2529.901
73,2834.583,2869.143,2818.738,2859.72,2512.22,2805.167,2775.428,2824.875,2988.423,2506.268,2508.435,2496.97,2493.56,2479.601,2476.589,2632,2636.617,2593.067,2672.75,2441.9,2502.413,2492.281,2497.86,2509.975,2484.083,2544.826,2535.587,2542.686,2531.165,2523.281
74,2853.875,2889.369,2839.19,2887.262,2513.202,2798.476,2768.494,2829.208,2987.56,2498.827,2504.131,2500.048,2497.452,2483.565,2473.077,2634.783,2628,2596.367,2668.383,2444.317,2504.628,2491.959,2496.512,2514.223,2490.917,2549.967,2533.57,2542.008,2534.785,2527.331
75,2876.232,2932.428,2858.381,2915.875,2516.822,2801.952,2765,2822.155,2989.423,2496.197,2504.524,2499.911,2494.197,2482.178,2476.28,2634.817,2634.7,2595.7,2687.983,2439.05,2500.471,2499.157,2491.322,2516.669,2484.355,2545.322,2527.884,2536.612,2536.107,2528.975
76,2885.458,2964.625,2873.435,2937.28,2515.512,2792.19,2770.322,2814.631,2997.435,2502.345,2508.155,2499.387,2492.47,2483.899,2476.399,2632.05,2644.483,2599.217,2676.25,2446.883,2496.967,2492.157,2496.14,2509.149,2485.579,2546.38,2526.198,2544.033,2533.496,2527.091
77,2913.03,3002.643,2902.268,2922.923,2512.44,2792.28,2764.738,2808.548,2997.833,2500.232,2509.947,2492.613,2499.381,2490.792,2473.065,2634.833,2632.117,2600.217,2679.267,2447.183,2502.818,2498.182,2496.347,2510.347,2487.835,2554.711,2529.934,2542.306,2538.992,2521.545
78,2934.197,2999.101,2919.089,2939.887,2518.256,2788.524,2756.137,2802.577,2999.327,2502.738,2507.238,2504.869,2499.643,2485.256,2471.702,2636.467,2635.2,2596.717,2680.75,2453.3,2506.182,2495.612,2497.694,2513.438,2487.446,2549.074,2536.198,2550.149,2533.471,2526.174
79,2956.22,3045.006,2940.542,2966.702,2519.893,2778.69,2748.47,2794.792,3000.97,2505.702,2513.607,2495.423,2501.601,2484.333,2476.405,2640.95,2636.55,2613.1,2694.95,2448.2,2501.033,2498.273,2501.843,2512.182,2496.248,2548.364,2535.537,2535.033,2536.446,2526.884
80,2973.952,3082.905,2959.357,2996.553,2517.631,2775.03,2742.595,2795.375,2999.952,2501.423,2512.69,2501.69,2490.863,2484.833,2480.339,2643.55,2633.783,2607.867,2678.117,2442.267,2501.57,2497.215,2497.545,2509.818,2490.636,2547.388,2535.826,2540.967,2536.099,2525.38
81,2993.381,3083.732,2978.678,3020.994,2520.298,2803.536,2740.161,2781.488,3004.47,2503.327,2511.851,2496.28,2495.232,2483.405,2478.31,2637.983,2643.983,2597.85,2679.183,2446.567,2501.149,2497.116,2502.57,2508.843,2487.24,2550.397,2532.033,2543.876,2539.711,2530.413
82,3017,3085.053,3001.232,3052.024,2517.625,2799.119,2730.947,2772.857,3018.667,2501.131,2512.595,2501.94,2499.595,2486.964,2480.315,2639.4,2656.517,2619.6,2686.033,2446.35,2498.967,2499.157,2503.992,2510.132,2493.603,2543.686,2531.884,2541.306,2540.686,2526.273
83,3038.928,3101.482,3017.286,3078.25,2516.303,2791.339,2718.423,2769.613,3017.637,2503.315,2510.512,2500.065,2504.387,2487.685,2477.839,2639.417,2662.5,2610.667,2684.7,2443.283,2503.124,2497.793,2507.248,2515.934,2489.339,2546.421,2535.488,2544.14,2539.025,2528.851
84,3054.357,3155.56,3043.732,3106.22,2516.911,2815.488,2722.173,2762.702,3002.893,2506.56,2510.113,2503.572,2491.393,2484.185,2477.964,2626.95,2656.6,2607.517,2694.5,2450.3,2502.124,2496.719,2500.471,2512.711,2490.008,2546.074,2533.215,2544.893,2536.57,2527.438
85,3083.167,3202.303,3060.393,3143.173,2518.238,2766.524,2721.232,2755.315,3015.464,2507.452,2507.405,2497.786,2488.208,2485.548,2475.613,2637.6,2658.383,2609.667,2665.633,2444.833,2504.017,2493.207,2499.405,2517.488,2485.207,2551.331,2537.083,2547.529,2538.091,2530.107
86,3103.714,3168.56,3083.369,3139.018,2519.857,2743.244,2706.065,2747.94,2994.197,2506.417,2507.322,2502.697,2495.423,2486.143,2482.053,2643.717,2654.25,2606.233,2667.45,2442.783,2504.86,2500.934,2505.124,2511.488,2494.603,2543.603,2539.975,2540.95,2540.843,2526.331
87,3122.822,3212.125,3103.524,3160.125,2517.911,2746.155,2709.155,2736.887,2988.428,2501.619,2507.375,2500.631,2496.792,2488.792,2480.137,2636.55,2653.783,2611.15,2674.033,2444.6,2506.24,2501.306,2501.645,2512.686,2489.628,2557.802,2540.636,2545.322,2539.24,2525.174
88,3151.018,3246.78,3115.178,3189.738,2518.911,2749.048,2694.685,2731.976,2994.75,2502.97,2506.119,2505.524,2493.875,2489.31,2477.161,2636,2648.267,2608.183,2688.833,2452.55,2503.298,2503.835,2503.579,2509.099,2490.033,2550.322,2534.083,2539.628,2541.777,2527.446
89,3165.089,3279.583,3128.363,3201.726,2516.458,2741.536,2689.667,2725.655,2976.065,2505.155,2508.792,2500.089,2497.268,2490.512,2477.583,2630.533,2664.267,2603.2,2678.717,2455,2494.595,2499.331,2502.116,2516.802,2496.983,2546.107,2534.446,2539.372,2537.802,2523.603
